"customer_id","email","first_name","last_name","rental_count"
237,"tanya.gilbert@sakilacustomer.org","Tanya","Gilbert","33"
451,"jim.rea@sakilacustomer.org","Jim","Rea","33"
114,"grace.ellis@sakilacustomer.org","Grace","Ellis","33"
102,"crystal.ford@sakilacustomer.org","Crystal","Ford","33"
533,"jessie.milam@sakilacustomer.org","Jessie","Milam","33"
406,"nathan.runyon@sakilacustomer.org","Nathan","Runyon","32"
569,"dave.gardiner@sakilacustomer.org","Dave","Gardiner","32"
452,"tom.milner@sakilacustomer.org","Tom","Milner","32"
550,"guy.brownlee@sakilacustomer.org","Guy","Brownlee","32"
306,"charles.kowalski@sakilacustomer.org","Charles","Kowalski","32"
35,"virginia.green@sakilacustomer.org","Virginia","Green","32"
242,"glenda.frazier@sakilacustomer.org","Glenda","Frazier","32"
535,"javier.elrod@sakilacustomer.org","Javier","Elrod","32"
28,"cynthia.young@sakilacustomer.org","Cynthia","Young","32"
120,"sylvia.ortiz@sakilacustomer.org","Sylvia","Ortiz","32"
362,"nicholas.barfield@sakilacustomer.org","Nicholas","Barfield","32"
209,"tonya.chapman@sakilacustomer.org","Tonya","Chapman","32"
259,"lena.jensen@sakilacustomer.org","Lena","Jensen","32"
245,"courtney.day@sakilacustomer.org","Courtney","Day","32"
532,"neil.renner@sakilacustomer.org","Neil","Renner","32"
125,"ethel.webb@sakilacustomer.org","Ethel","Webb","32"
167,"sally.pierce@sakilacustomer.org","Sally","Pierce","32"
277,"olga.jimenez@sakilacustomer.org","Olga","Jimenez","32"
470,"gordon.allard@sakilacustomer.org","Gordon","Allard","32"
89,"julia.flores@sakilacustomer.org","Julia","Flores","32"
342,"harold.martino@sakilacustomer.org","Harold","Martino","32"
442,"leroy.bustamante@sakilacustomer.org","Leroy","Bustamante","32"
329,"frank.waggoner@sakilacustomer.org","Frank","Waggoner","32"
128,"marjorie.tucker@sakilacustomer.org","Marjorie","Tucker","32"
405,"leonard.schofield@sakilacustomer.org","Leonard","Schofield","32"
15,"helen.harris@sakilacustomer.org","Helen","Harris","32"
254,"maxine.silva@sakilacustomer.org","Maxine","Silva","32"
503,"angel.barclay@sakilacustomer.org","Angel","Barclay","32"
520,"mitchell.westmoreland@sakilacustomer.org","Mitchell","Westmoreland","32"
1,"mary.smith@sakilacustomer.org","Mary","Smith","32"
244,"viola.hanson@sakilacustomer.org","Viola","Hanson","32"
346,"arthur.simpkins@sakilacustomer.org","Arthur","Simpkins","32"
141,"debbie.reyes@sakilacustomer.org","Debbie","Reyes","32"
122,"thelma.murray@sakilacustomer.org","Thelma","Murray","32"
158,"veronica.stone@sakilacustomer.org","Veronica","Stone","32"
78,"lori.wood@sakilacustomer.org","Lori","Wood","31"
260,"christy.vargas@sakilacustomer.org","Christy","Vargas","31"
479,"zachary.hite@sakilacustomer.org","Zachary","Hite","31"
293,"mae.fletcher@sakilacustomer.org","Mae","Fletcher","31"
103,"gladys.hamilton@sakilacustomer.org","Gladys","Hamilton","31"
513,"duane.tubbs@sakilacustomer.org","Duane","Tubbs","31"
210,"ella.oliver@sakilacustomer.org","Ella","Oliver","31"
251,"vickie.brewer@sakilacustomer.org","Vickie","Brewer","31"
27,"shirley.allen@sakilacustomer.org","Shirley","Allen","31"
361,"lawrence.lawton@sakilacustomer.org","Lawrence","Lawton","31"
186,"holly.fox@sakilacustomer.org","Holly","Fox","31"
416,"jeffery.pinson@sakilacustomer.org","Jeffery","Pinson","31"
309,"christopher.greco@sakilacustomer.org","Christopher","Greco","31"
157,"darlene.rose@sakilacustomer.org","Darlene","Rose","31"
279,"dianne.shelton@sakilacustomer.org","Dianne","Shelton","31"
340,"patrick.newsom@sakilacustomer.org","Patrick","Newsom","31"
323,"matthew.mahan@sakilacustomer.org","Matthew","Mahan","31"
446,"theodore.culp@sakilacustomer.org","Theodore","Culp","31"
393,"philip.causey@sakilacustomer.org","Philip","Causey","31"
494,"ramon.choate@sakilacustomer.org","Ramon","Choate","31"
300,"john.farnsworth@sakilacustomer.org","John","Farnsworth","31"
214,"kristin.johnston@sakilacustomer.org","Kristin","Johnston","31"
