"first_name","last_name","amount","case"
"Mike","Way","4.99",NULL
"Mike","Way","8.99",NULL
"Mike","Way","3.99","0.5187"
"Mike","Way","4.99","0.6487"
"Mike","Way","6.99","0.9087"
"Mike","Way","5.99","0.7787"
"Stanley","Scroggins","2.99",NULL
"Stanley","Scroggins","4.99","0.6487"
"Stanley","Scroggins","4.99","0.6487"
"Stanley","Scroggins","2.99","0.3887"
"Leonard","Schofield","4.99",NULL
"Leonard","Schofield","0.99","0.1287"
"Leonard","Schofield","5.99","0.7787"
"Leonard","Schofield","3.99","0.5187"
"Leonard","Schofield","4.99","0.6487"
"Leonard","Schofield","5.99","0.7787"
"Nathan","Runyon","4.99","0.6487"
"Nathan","Runyon","3.99","0.5187"
"Nathan","Runyon","2.99","0.3887"
"Nathan","Runyon","0.99","0.1287"
"Nathan","Runyon","0.99","0.1287"
"Nathan","Runyon","7.99","1.0387"
"Nathan","Runyon","4.99","0.6487"
"Dale","Ratcliff","2.99","0.3887"
"Dale","Ratcliff","0.99","0.1287"
"Manuel","Murrell","4.99","0.6487"
"Manuel","Murrell","2.99","0.3887"
"Manuel","Murrell","2.99","0.3887"
"Rodney","Moeller","5.99",NULL
"Rodney","Moeller","8.99","1.1687"
"Curtis","Irby","2.99",NULL
"Curtis","Irby","2.99","0.3887"
"Curtis","Irby","4.99","0.6487"
"Curtis","Irby","5.99","0.7787"
"Curtis","Irby","0.99","0.1287"
"Curtis","Irby","4.99","0.6487"
"Norman","Currier","0.99","0.1287"
"Norman","Currier","2.99","0.3887"
"Norman","Currier","0.99","0.1287"
"Allen","Butterfield","2.99","0.3887"
"Marvin","Yee","5.99","0.7787"
"Marvin","Yee","4.99","0.6487"
"Vincent","Ralston","4.99","0.6487"
"Vincent","Ralston","9.99","1.2987"
"Vincent","Ralston","5.99","0.7787"
"Glenn","Pullen","4.99","0.6487"
"Glenn","Pullen","2.99","0.3887"
"Jeffery","Pinson","2.99",NULL
"Jeffery","Pinson","4.99",NULL
"Jeffery","Pinson","0.99","0.1287"
"Jeffery","Pinson","2.99","0.3887"
"Jeffery","Pinson","0.99","0.1287"
"Travis","Estep","3.99","0.5187"
"Jeff","East","2.99","0.3887"
"Jeff","East","2.99","0.3887"
"Jeff","East","2.99","0.3887"
"Chad","Carbone","2.99","0.3887"
"Jacob","Lance","3.99","0.5187"
"Jacob","Lance","0.99","0.1287"
"Jacob","Lance","0.99","0.1287"
"Lee","Hawks","4.99","0.6487"
"Lee","Hawks","2.99","0.3887"
"Lee","Hawks","4.99","0.6487"
"Melvin","Ellington","0.99","0.1287"
"Melvin","Ellington","4.99","0.6487"
"Melvin","Ellington","2.99","0.3887"
"Melvin","Ellington","5.99","0.7787"
"Alfred","Casillas","3.99",NULL
"Alfred","Casillas","0.99","0.1287"
"Alfred","Casillas","6.99","0.9087"
"Alfred","Casillas","6.99","0.9087"
"Alfred","Casillas","8.99","1.1687"
"Kyle","Spurlock","4.99","0.6487"
"Kyle","Spurlock","6.99","0.9087"
"Kyle","Spurlock","0.99","0.1287"
"Francis","Sikes","6.99","0.9087"
"Bradley","Motley","6.99","0.9087"
"Bradley","Motley","7.99","1.0387"
"Bradley","Motley","2.99","0.3887"
"Bradley","Motley","0.99","0.1287"
"Bradley","Motley","0.99","0.1287"
"Jesus","Mccartney","5.99",NULL
"Jesus","Mccartney","3.99","0.5187"
"Jesus","Mccartney","5.99","0.7787"
"Jesus","Mccartney","1.99","0.2587"
"Jesus","Mccartney","0.99","0.1287"
"Herbert","Kruger","3.99",NULL
"Herbert","Kruger","2.99",NULL
"Herbert","Kruger","3.99","0.5187"
"Herbert","Kruger","2.99","0.3887"
"Herbert","Kruger","0.99","0.1287"
"Frederick","Isbell","5.99","0.7787"
"Frederick","Isbell","2.99","0.3887"
"Frederick","Isbell","7.99","1.0387"
"Frederick","Isbell","2.99","0.3887"
"Ray","Houle","0.99",NULL
"Ray","Houle","2.99",NULL
"Ray","Houle","2.99",NULL
"Ray","Houle","6.99","0.9087"
"Ray","Houle","0.99","0.1287"
"Ray","Houle","0.99","0.1287"
"Joel","Francisco","2.99","0.3887"
"Joel","Francisco","4.99","0.6487"
"Joel","Francisco","3.99","0.5187"
"Joel","Francisco","4.99","0.6487"
"Joel","Francisco","2.99","0.3887"
"Joel","Francisco","6.99","0.9087"
"Joel","Francisco","8.99","1.1687"
"Edwin","Burk","5.99",NULL
"Edwin","Burk","2.99","0.3887"
"Edwin","Burk","4.99","0.6487"
"Eddie","Tomlin","0.99",NULL
"Eddie","Tomlin","5.99","0.7787"
"Eddie","Tomlin","7.99","1.0387"
"Eddie","Tomlin","3.99","0.5187"
"Eddie","Tomlin","3.99","0.5187"
"Eddie","Tomlin","2.99","0.3887"
"Eddie","Tomlin","2.99","0.3887"
"Ricky","Shelby","0.99",NULL
"Ricky","Shelby","0.99","0.1287"
"Troy","Quigley","9.99","1.2987"
"Randall","Neumann","5.99","0.7787"
"Randall","Neumann","2.99","0.3887"
"Randall","Neumann","2.99","0.3887"
"Barry","Lovelace","4.99",NULL
"Barry","Lovelace","0.99","0.1287"
"Barry","Lovelace","0.99","0.1287"
"Barry","Lovelace","4.99","0.6487"
"Barry","Lovelace","4.99","0.6487"
"Barry","Lovelace","0.99","0.1287"
"Alexander","Fennell","4.99",NULL
"Alexander","Fennell","0.99","0.1287"
"Alexander","Fennell","4.99","0.6487"
"Alexander","Fennell","2.99","0.3887"
"Alexander","Fennell","2.99","0.3887"
"Alexander","Fennell","6.99","0.9087"
"Mario","Cheatham","4.99","0.6487"
"Mario","Cheatham","4.99","0.6487"
"Leroy","Bustamante","5.99",NULL
"Leroy","Bustamante","0.99",NULL
"Leroy","Bustamante","8.99","1.1687"
"Leroy","Bustamante","2.99","0.3887"
"Francisco","Skidmore","2.99","0.3887"
"Marcus","Hidalgo","0.99",NULL
"Marcus","Hidalgo","3.99",NULL
"Marcus","Hidalgo","1.99",NULL
"Marcus","Hidalgo","4.99","0.6487"
"Marcus","Hidalgo","7.99","1.0387"
"Marcus","Hidalgo","5.99","0.7787"
"Theodore","Culp","4.99","0.6487"
"Theodore","Culp","3.99","0.5187"
"Theodore","Culp","6.99","0.9087"
"Theodore","Culp","0.99","0.1287"
"Theodore","Culp","2.99","0.3887"
"Theodore","Culp","0.99","0.1287"
"Clifford","Bowens","0.99",NULL
"Clifford","Bowens","2.99","0.3887"
"Clifford","Bowens","4.99","0.6487"
"Clifford","Bowens","4.99","0.6487"
"Miguel","Betancourt","5.99",NULL
"Miguel","Betancourt","7.99","1.0387"
"Miguel","Betancourt","0.99","0.1287"
"Miguel","Betancourt","3.99","0.5187"
"Miguel","Betancourt","5.99","0.7787"
"Oscar","Aquino","4.99",NULL
"Oscar","Aquino","0.99","0.1287"
"Oscar","Aquino","2.99","0.3887"
"Jay","Robb","4.99","0.6487"
"Jay","Robb","0.99","0.1287"
"Jay","Robb","2.99","0.3887"
"Jay","Robb","0.99","0.1287"
"Jay","Robb","4.99","0.6487"
"Jay","Robb","2.99","0.3887"
"Jay","Robb","4.99","0.6487"
"Jim","Rea","0.99",NULL
"Jim","Rea","0.99","0.1287"
"Jim","Rea","6.99","0.9087"
"Jim","Rea","1.99","0.2587"
"Jim","Rea","3.99","0.5187"
"Jim","Rea","0.99","0.1287"
"Jim","Rea","6.99","0.9087"
"Tom","Milner","4.99",NULL
"Tom","Milner","5.99",NULL
"Tom","Milner","3.99","0.5187"
"Tom","Milner","0.99","0.1287"
"Tom","Milner","4.99","0.6487"
"Tom","Milner","0.99","0.1287"
"Tom","Milner","0.99","0.1287"
"Calvin","Martel","5.99","0.7787"
"Calvin","Martel","7.99","1.0387"
"Calvin","Martel","4.99","0.6487"
"Alex","Gresham","4.99","0.6487"
"Alex","Gresham","7.99","1.0387"
"Alex","Gresham","1.99","0.2587"
"Alex","Gresham","4.99","0.6487"
"Alex","Gresham","5.99","0.7787"
"Alex","Gresham","5.99","0.7787"
"Alex","Gresham","2.99","0.3887"
"Alex","Gresham","9.99","1.2987"
"Alex","Gresham","2.99","0.3887"
"Alex","Gresham","4.99","0.6487"
"Jon","Wiles","1.99",NULL
"Jon","Wiles","1.99","0.2587"
"Jon","Wiles","2.99","0.3887"
"Jon","Wiles","0.99","0.1287"
"Ronnie","Ricketts","2.99",NULL
"Ronnie","Ricketts","0.99","0.1287"
"Ronnie","Ricketts","5.99","0.7787"
"Ronnie","Ricketts","6.99","0.9087"
"Ronnie","Ricketts","4.99","0.6487"
"Ronnie","Ricketts","0.99","0.1287"
"Ronnie","Ricketts","2.99","0.3887"
"Bill","Gavin","4.99",NULL
"Bill","Gavin","0.99","0.1287"
"Bill","Gavin","0.99","0.1287"
"Bill","Gavin","7.99","1.0387"
"Bill","Gavin","4.99","0.6487"
"Bill","Gavin","3.99","0.5187"
"Bill","Gavin","0.99","0.1287"
"Bill","Gavin","2.99","0.3887"
"Bill","Gavin","2.99","0.3887"
"Lloyd","Dowd","5.99","0.7787"
"Lloyd","Dowd","0.99","0.1287"
"Tommy","Collazo","0.99","0.1287"
"Tommy","Collazo","2.99","0.3887"
"Tommy","Collazo","4.99","0.6487"
"Tommy","Collazo","0.99","0.1287"
"Tommy","Collazo","4.99","0.6487"
"Tommy","Collazo","0.99","0.1287"
"Tommy","Collazo","9.99","1.2987"
"Leon","Bostic","0.99",NULL
"Derek","Blakely","5.99","0.7787"
"Derek","Blakely","4.99","0.6487"
"Warren","Sherrod","5.99","0.7787"
"Warren","Sherrod","9.99","1.2987"
"Warren","Sherrod","4.99","0.6487"
"Darrell","Power","2.99",NULL
"Darrell","Power","4.99","0.6487"
"Darrell","Power","2.99","0.3887"
"Darrell","Power","4.99","0.6487"
"Jerome","Kenyon","4.99",NULL
"Jerome","Kenyon","2.99","0.3887"
"Floyd","Gandy","2.99",NULL
"Floyd","Gandy","4.99","0.6487"
"Floyd","Gandy","8.99","1.1687"
"Floyd","Gandy","0.99","0.1287"
"Leo","Ebert","7.99","1.0387"
"Leo","Ebert","8.99","1.1687"
"Leo","Ebert","3.99","0.5187"
"Leo","Ebert","4.99","0.6487"
"Leo","Ebert","2.99","0.3887"
"Alvin","Deloach","8.99","1.1687"
"Alvin","Deloach","4.99","0.6487"
"Alvin","Deloach","9.99","1.2987"
"Alvin","Deloach","6.99","0.9087"
"Tim","Cary","2.99",NULL
"Tim","Cary","8.99","1.1687"
"Tim","Cary","2.99","0.3887"
"Tim","Cary","2.99","0.3887"
"Tim","Cary","4.99","0.6487"
"Tim","Cary","0.99","0.1287"
"Wesley","Bull","0.99",NULL
"Wesley","Bull","9.99","1.2987"
"Gordon","Allard","0.99",NULL
"Gordon","Allard","0.99",NULL
"Gordon","Allard","7.99","1.0387"
"Dean","Sauer","4.99",NULL
"Dean","Sauer","2.99",NULL
"Dean","Sauer","2.99","0.3887"
"Dean","Sauer","4.99","0.6487"
"Dean","Sauer","4.99","0.6487"
"Greg","Robins","4.99",NULL
"Greg","Robins","6.99","0.9087"
"Greg","Robins","5.99","0.7787"
"Greg","Robins","0.99","0.1287"
"Greg","Robins","4.99","0.6487"
"Greg","Robins","0.99","0.1287"
"Jorge","Olivares","0.99","0.1287"
"Jorge","Olivares","2.99","0.3887"
"Jorge","Olivares","4.99","0.6487"
"Jorge","Olivares","4.99","0.6487"
"Dustin","Gillette","8.99","1.1687"
"Dustin","Gillette","7.99","1.0387"
"Derrick","Bourque","3.99","0.5187"
"Derrick","Bourque","0.99","0.1287"
"Derrick","Bourque","4.99","0.6487"
"Derrick","Bourque","2.99","0.3887"
"Dan","Paine","6.99","0.9087"
"Dan","Paine","2.99","0.3887"
"Dan","Paine","10.99","1.4287"
"Dan","Paine","4.99","0.6487"
"Lewis","Lyman","0.99","0.1287"
"Lewis","Lyman","4.99","0.6487"
"Lewis","Lyman","6.99","0.9087"
"Lewis","Lyman","8.99","1.1687"
"Lewis","Lyman","4.99","0.6487"
"Lewis","Lyman","4.99","0.6487"
"Zachary","Hite","2.99","0.3887"
"Zachary","Hite","3.99","0.5187"
"Zachary","Hite","2.99","0.3887"
"Zachary","Hite","3.99","0.5187"
"Zachary","Hite","2.99","0.3887"
"Zachary","Hite","6.99","0.9087"
"Corey","Hauser","0.99",NULL
"Corey","Hauser","0.99","0.1287"
"Herman","Devore","2.99",NULL
"Herman","Devore","4.99","0.6487"
"Herman","Devore","4.99","0.6487"
"Herman","Devore","0.99","0.1287"
"Maurice","Crawley","2.99","0.3887"
"Maurice","Crawley","0.99","0.1287"
"Vernon","Chapa","4.99","0.6487"
"Vernon","Chapa","0.99","0.1287"
"Vernon","Chapa","8.99","1.1687"
"Roberto","Vu","3.99",NULL
"Roberto","Vu","3.99","0.5187"
"Roberto","Vu","4.99","0.6487"
"Roberto","Vu","5.99","0.7787"
"Clyde","Tobias","2.99","0.3887"
"Clyde","Tobias","8.99","1.1687"
"Glen","Talbert","4.99","0.6487"
"Glen","Talbert","5.99","0.7787"
"Glen","Talbert","2.99","0.3887"
"Glen","Talbert","2.99","0.3887"
"Hector","Poindexter","3.99","0.5187"
"Shane","Millard","3.99","0.5187"
"Shane","Millard","5.99","0.7787"
"Ricardo","Meador","3.99","0.5187"
"Ricardo","Meador","0.99","0.1287"
"Ricardo","Meador","7.99","1.0387"
"Ricardo","Meador","4.99","0.6487"
"Sam","Mcduffie","3.99","0.5187"
"Rick","Mattox","2.99",NULL
"Rick","Mattox","4.99",NULL
"Rick","Mattox","4.99","0.6487"
"Rick","Mattox","4.99","0.6487"
"Rick","Mattox","4.99","0.6487"
"Rick","Mattox","4.99","0.6487"
"Rick","Mattox","3.99","0.5187"
"Lester","Kraus","1.99","0.2587"
"Lester","Kraus","4.99","0.6487"
"Lester","Kraus","4.99","0.6487"
"Lester","Kraus","9.99","1.2987"
"Brent","Harkins","3.99","0.5187"
"Brent","Harkins","4.99","0.6487"
"Brent","Harkins","0.99","0.1287"
"Brent","Harkins","2.99","0.3887"
"Ramon","Choate","2.99","0.3887"
"Charlie","Bess","2.99","0.3887"
"Charlie","Bess","4.99","0.6487"
"Charlie","Bess","7.99","1.0387"
"Charlie","Bess","3.99","0.5187"
"Tyler","Wren","2.99","0.3887"
"Gilbert","Sledge","8.99","1.1687"
"Gilbert","Sledge","5.99","0.7787"
"Gilbert","Sledge","2.99","0.3887"
"Gilbert","Sledge","4.99","0.6487"
"Gene","Sanborn","6.99",NULL
"Gene","Sanborn","2.99","0.3887"
"Gene","Sanborn","2.99","0.3887"
"Gene","Sanborn","4.99","0.6487"
"Gene","Sanborn","0.99","0.1287"
"Gene","Sanborn","0.99","0.1287"
"Marc","Outlaw","2.99",NULL
"Marc","Outlaw","4.99",NULL
"Marc","Outlaw","4.99","0.6487"
"Marc","Outlaw","1.99","0.2587"
"Reginald","Kinder","5.99",NULL
"Reginald","Kinder","5.99",NULL
"Reginald","Kinder","3.99","0.5187"
"Reginald","Kinder","6.99","0.9087"
"Reginald","Kinder","2.99","0.3887"
"Ruben","Geary","5.99","0.7787"
"Ruben","Geary","7.99","1.0387"
"Brett","Cornwell","7.99","1.0387"
"Brett","Cornwell","0.99","0.1287"
"Brett","Cornwell","0.99","0.1287"
"Angel","Barclay","4.99","0.6487"
"Angel","Barclay","2.99","0.3887"
"Angel","Barclay","0.99","0.1287"
"Nathaniel","Adam","1.99","0.2587"
"Nathaniel","Adam","6.99","0.9087"
"Rafael","Abney","5.99","0.7787"
"Rafael","Abney","4.99","0.6487"
"Rafael","Abney","7.99","1.0387"
"Rafael","Abney","5.99","0.7787"
"Leslie","Seward","6.99",NULL
"Leslie","Seward","2.99",NULL
"Leslie","Seward","0.99","0.1287"
"Leslie","Seward","9.99","1.2987"
"Leslie","Seward","6.99","0.9087"
"Edgar","Rhoads","4.99",NULL
"Edgar","Rhoads","4.99","0.6487"
"Edgar","Rhoads","4.99","0.6487"
"Milton","Howland","4.99","0.6487"
"Raul","Fortier","2.99",NULL
"Raul","Fortier","4.99","0.6487"
"Ben","Easter","5.99",NULL
"Ben","Easter","0.99","0.1287"
"Ben","Easter","0.99","0.1287"
"Ben","Easter","8.99","1.1687"
"Ben","Easter","0.99","0.1287"
"Ben","Easter","0.99","0.1287"
"Ben","Easter","8.99","1.1687"
"Ben","Easter","5.99","0.7787"
"Chester","Benner","2.99",NULL
"Chester","Benner","2.99",NULL
"Chester","Benner","10.99","1.4287"
"Chester","Benner","4.99","0.6487"
"Cecil","Vines","6.99",NULL
"Cecil","Vines","4.99","0.6487"
"Cecil","Vines","2.99","0.3887"
"Duane","Tubbs","2.99","0.3887"
"Duane","Tubbs","7.99","1.0387"
"Duane","Tubbs","1.99","0.2587"
"Franklin","Troutman","4.99","0.6487"
"Franklin","Troutman","3.99","0.5187"
"Franklin","Troutman","0.99","0.1287"
"Franklin","Troutman","0.99","0.1287"
"Franklin","Troutman","2.99","0.3887"
"Franklin","Troutman","0.99","0.1287"
"Andre","Rapp","4.99",NULL
"Andre","Rapp","5.99",NULL
"Andre","Rapp","4.99","0.6487"
"Andre","Rapp","4.99","0.6487"
"Andre","Rapp","0.99","0.1287"
"Andre","Rapp","3.99","0.5187"
"Elmer","Noe","4.99",NULL
"Elmer","Noe","1.99",NULL
"Elmer","Noe","10.99","1.4287"
"Elmer","Noe","0.99","0.1287"
"Elmer","Noe","0.99","0.1287"
"Elmer","Noe","2.99","0.3887"
"Brad","Mccurdy","4.99","0.6487"
"Brad","Mccurdy","8.99","1.1687"
"Brad","Mccurdy","4.99","0.6487"
"Brad","Mccurdy","2.99","0.3887"
"Brad","Mccurdy","0.99","0.1287"
"Gabriel","Harder","5.99","0.7787"
"Gabriel","Harder","0.99","0.1287"
"Ron","Deluca","2.99","0.3887"
"Ron","Deluca","8.99","1.1687"
"Ron","Deluca","5.99","0.7787"
"Mitchell","Westmoreland","0.99",NULL
"Mitchell","Westmoreland","6.99","0.9087"
"Mitchell","Westmoreland","4.99","0.6487"
"Roland","South","0.99","0.1287"
"Roland","South","0.99","0.1287"
"Arnold","Havens","3.99",NULL
"Arnold","Havens","8.99","1.1687"
